cycle theoreticalDist theoreticalMaxDist average standardDeviation
47 12.6056 29.6819 12.6048 0.722654
48 12.6493 30.136 12.6485 0.727164
49 12.6903 30.5843 12.6895 0.731427
50 12.7289 31.0267 12.7281 0.735456
firstSpeed 0.9
1 0.9 0.945 0.899983 0.01838
2 1.746 1.87772 1.74597 0.039612
3 2.54124 2.7983 2.54123 0.06386
4 3.28877 3.70693 3.28877 0.0900766
5 3.99144 4.60374 3.99144 0.11751
6 4.65195 5.48889 4.65197 0.145679
7 5.27284 6.36253 5.27285 0.174205
8 5.85647 7.22482 5.85646 0.202754
9 6.40508 8.0759 6.40506 0.231133
10 6.92077 8.91591 6.92075 0.259178
11 7.40553 9.745 7.4055 0.28674
12 7.8612 10.5633 7.86118 0.31372
13 8.28952 11.371 8.28952 0.340048
14 8.69215 12.1682 8.69215 0.365655
15 9.07062 12.955 9.07063 0.390505
16 9.42639 13.7316 9.4264 0.414564
17 9.7608 14.4981 9.76082 0.43782
18 10.0752 15.2546 10.0752 0.460235
19 10.3706 16.0013 10.3707 0.481817
20 10.6484 16.7383 10.6484 0.502562
21 10.9095 17.4657 10.9095 0.522474
22 11.1549 18.1836 11.1549 0.541572
23 11.3856 18.8922 11.3856 0.559859
24 11.6025 19.5916 11.6025 0.577353
25 11.8063 20.2819 11.8064 0.59408
26 11.998 20.9633 11.998 0.610054
27 12.1781 21.6357 12.1781 0.625304
28 12.3474 22.2995 12.3474 0.639844
29 12.5066 22.9546 12.5066 0.653699
30 12.6562 23.6012 12.6562 0.666897
31 12.7968 24.2394 12.7968 0.67946
32 12.929 24.8692 12.929 0.691405
33 13.0532 25.4909 13.0533 0.702763
34 13.1701 26.1046 13.1701 0.71355
35 13.2799 26.7102 13.2799 0.723791
36 13.3831 27.308 13.3831 0.733514
37 13.4801 27.898 13.4801 0.742741
38 13.5713 28.4803 13.5713 0.751496
39 13.657 29.0551 13.6571 0.759798
40 13.7376 29.6223 13.7377 0.767671
41 13.8133 30.1822 13.8134 0.775129
42 13.8845 30.7349 13.8846 0.782195
43 13.9515 31.2803 13.9515 0.788888
44 14.0144 31.8187 14.0145 0.795225
45 14.0735 32.35 14.0736 0.801221
46 14.1291 32.8745 14.1292 0.806896
47 14.1813 33.3921 14.1814 0.812263
48 14.2305 33.903 14.2306 0.817339
49 14.2766 34.4073 14.2767 0.822137
50 14.32 34.905 14.3201 0.826671
firstSpeed 1
1 1 1.05 0.999986 0.0204175
2 1.94 2.08635 1.93995 0.0440209
3 2.8236 3.10923 2.8235 0.0710193
4 3.65418 4.11881 3.65406 0.100197
5 4.43493 5.11526 4.43479 0.130714
6 5.16884 6.09876 5.16867 0.162031
7 5.85871 7.06948 5.85853 0.193721
8 6.50718 8.02758 6.50696 0.225494
9 7.11675 8.97322 7.11651 0.257094
10 7.68975 9.90657 7.68949 0.28831
11 8.22836 10.8278 8.2281 0.318978
12 8.73466 11.737 8.73439 0.348974
13 9.21058 12.6344 9.21032 0.378234
14 9.65795 13.5202 9.6577 0.406672
15 10.0785 14.3944 10.0782 0.434258
16 10.4738 15.2573 10.4735 0.460959
17 10.8453 16.109 10.8451 0.486746
18 11.1946 16.9495 11.1944 0.511601
19 11.5229 17.7792 11.5227 0.535532
20 11.8316 18.5981 11.8313 0.558533
21 12.1217 19.4063 12.1214 0.580613
22 12.3944 20.204 12.3941 0.601774
23 12.6507 20.9914 12.6505 0.62204
24 12.8917 21.7685 12.8914 0.641429
25 13.1182 22.5355 13.1179 0.659961
26 13.3311 23.2925 13.3308 0.677665
27 13.5312 24.0397 13.531 0.694562
28 13.7193 24.7772 13.7191 0.710674
29 13.8962 25.5051 13.8959 0.726031
30 14.0624 26.2235 14.0621 0.740659
31 14.2187 26.9326 14.2184 0.754583
32 14.3655 27.6325 14.3653 0.76783
33 14.5036 28.3233 14.5033 0.780427
34 14.6334 29.0051 14.6331 0.792395
35 14.7554 29.678 14.7551 0.803766
36 14.8701 30.3422 14.8698 0.814565
